"Mother of Runes","MONO_WHITE","CREATURE","1",
"Serra Ascendant","MONO_WHITE","CREATURE","1",
"Weathered Wayfarer","MONO_WHITE","CREATURE","1",
"Grand Abolisher","MONO_WHITE","CREATURE","2",
"Knight of the White Orchid","MONO_WHITE","CREATURE","2",
"Selfless Spirit","MONO_WHITE","CREATURE","2",
"Stoneforge Mystic","MONO_WHITE","CREATURE","2",
"Wall of Omens","MONO_WHITE","CREATURE","2",
"Eldrazi Displacer","MONO_WHITE","CREATURE","3",
"Mentor of the Meek","MONO_WHITE","CREATURE","3",
"Mirror Entity","MONO_WHITE","CREATURE","3",
"Recruiter of the Guard","MONO_WHITE","CREATURE","3",
"Silverblade Paladin","MONO_WHITE","CREATURE","3",
"Thalia, Heretic Cathar","MONO_WHITE","CREATURE","3",
"Hero of Bladehold","MONO_WHITE","CREATURE","4",
"Restoration Angel","MONO_WHITE","CREATURE","4",
"Angel of Invention","MONO_WHITE","CREATURE","5",
"Archangel of Thune","MONO_WHITE","CREATURE","5",
"Archon of Justice","MONO_WHITE","CREATURE","5",
"Baneslayer Angel","MONO_WHITE","CREATURE","5",
"Geist-Honored Monk","MONO_WHITE","CREATURE","5",
"Karmic Guide","MONO_WHITE","CREATURE","5",
"Lyra Dawnbringer","MONO_WHITE","CREATURE","5",
"Reveillark","MONO_WHITE","CREATURE","5",
"Stonehewer Giant","MONO_WHITE","CREATURE","5",
"Felidar Sovereign","MONO_WHITE","CREATURE","6",
"Sun Titan","MONO_WHITE","CREATURE","6",
"Sunblast Angel","MONO_WHITE","CREATURE","6",
"Yosei, the Morning Star","MONO_WHITE","CREATURE","6",
"Angel of Serenity","MONO_WHITE","CREATURE","7",
"Angelic Arbiter","MONO_WHITE","CREATURE","7",
"Archangel of Strife","MONO_WHITE","CREATURE","7",
"Elesh Norn, Grand Cenobite","MONO_WHITE","CREATURE","7",
"Emeria Shepherd","MONO_WHITE","CREATURE","7",
"Luminate Primordial","MONO_WHITE","CREATURE","7",
"Serra Avatar","MONO_WHITE","CREATURE","7",
"Avacyn, Angel of Hope","MONO_WHITE","CREATURE","8",
"Iona, Shield of Emeria","MONO_WHITE","CREATURE","9",
"Elspeth, Knight-Errant","MONO_WHITE","PLANESWALKER","4",
"Gideon, Ally of Zendikar","MONO_WHITE","PLANESWALKER","4",
"Elspeth, Sun's Champion","MONO_WHITE","PLANESWALKER","6",
"Enlightened Tutor","MONO_WHITE","INSTANT","1",
"Path to Exile","MONO_WHITE","INSTANT","1",
"Swords to Plowshares","MONO_WHITE","INSTANT","1",
"Teferi's Protection","MONO_WHITE","INSTANT","3",
"Return to Dust","MONO_WHITE","INSTANT","4",
"Council's Judgment","MONO_WHITE","SORCERY","3",
"Armageddon","MONO_WHITE","SORCERY","4",
"Cataclysm","MONO_WHITE","SORCERY","4",
"Day of Judgment","MONO_WHITE","SORCERY","4",
"Wrath of God","MONO_WHITE","SORCERY","4",
"Cleansing Nova","MONO_WHITE","SORCERY","5",
"Fumigate","MONO_WHITE","SORCERY","5",
"Rout","MONO_WHITE","SORCERY","5",
"Akroma's Vengeance","MONO_WHITE","SORCERY","6",
"Austere Command","MONO_WHITE","SORCERY","6",
"Hour of Revelation","MONO_WHITE","SORCERY","6",
"Terminus","MONO_WHITE","SORCERY","6",
"Martial Coup","MONO_WHITE","SORCERY","7",
"Land Tax","MONO_WHITE","ENCHANTMENT","1",
"Blind Obedience","MONO_WHITE","ENCHANTMENT","2",
"Darksteel Mutation","MONO_WHITE","ENCHANTMENT","2",
"Luminarch Ascension","MONO_WHITE","ENCHANTMENT","2",
"Act of Authority","MONO_WHITE","ENCHANTMENT","3",
"Aura of Silence","MONO_WHITE","ENCHANTMENT","3",
"Banishing Light","MONO_WHITE","ENCHANTMENT","3",
"Ghostly Prison","MONO_WHITE","ENCHANTMENT","3",
"Gift of Immortality","MONO_WHITE","ENCHANTMENT","3",
"Grasp of Fate","MONO_WHITE","ENCHANTMENT","3",
"Oblivion Ring","MONO_WHITE","ENCHANTMENT","3",
"Anointed Procession","MONO_WHITE","ENCHANTMENT","4",
"Faith's Fetters","MONO_WHITE","ENCHANTMENT","4",
"Cathars' Crusade","MONO_WHITE","ENCHANTMENT","5",
"Divine Visitation","MONO_WHITE","ENCHANTMENT","5",
"True Conviction","MONO_WHITE","ENCHANTMENT","6",
"Windbrisk Heights","MONO_WHITE","LAND","0",
"Baral, Chief of Compliance","MONO_BLUE","CREATURE","2",
"Gilded Drake","MONO_BLUE","CREATURE","2",
"Jace, Vryn's Prodigy","MONO_BLUE","CREATURE","2",
"Phantasmal Image","MONO_BLUE","CREATURE","2",
"Snapcaster Mage","MONO_BLUE","CREATURE","2",
"Archaeomancer","MONO_BLUE","CREATURE","4",
"Clever Impersonator","MONO_BLUE","CREATURE","4",
"Faerie Artisans","MONO_BLUE","CREATURE","4",
"Glen Elendra Archmage","MONO_BLUE","CREATURE","4",
"Stunt Double","MONO_BLUE","CREATURE","4",
"Venser, Shaper Savant","MONO_BLUE","CREATURE","4",
"Azami, Lady of Scrolls","MONO_BLUE","CREATURE","5",
"Deepglow Skate","MONO_BLUE","CREATURE","5",
"Mulldrifter","MONO_BLUE","CREATURE","5",
"Teferi, Mage of Zhalfir","MONO_BLUE","CREATURE","5",
"Arcanis the Omnipotent","MONO_BLUE","CREATURE","6",
"Consecrated Sphinx","MONO_BLUE","CREATURE","6",
"Deadeye Navigator","MONO_BLUE","CREATURE","6",
"Frost Titan","MONO_BLUE","CREATURE","6",
"Diluvian Primordial","MONO_BLUE","CREATURE","7",
"Palinchron","MONO_BLUE","CREATURE","7",
"Jin-Gitaxias, Core Augur","MONO_BLUE","CREATURE","10",
"Jace Beleren","MONO_BLUE","PLANESWALKER","3",
"Jace, the Mind Sculptor","MONO_BLUE","PLANESWALKER","4",
"Tamiyo, the Moon Sage","MONO_BLUE","PLANESWALKER","5",
"Tezzeret the Seeker","MONO_BLUE","PLANESWALKER","5",
"Teferi, Temporal Archmage","MONO_BLUE","PLANESWALKER","6",
"Phyrexian Metamorph","MONO_BLUE","ARTIFACT_CREATURE","4",
"Brainstorm","MONO_BLUE","INSTANT","1",
"Mystical Tutor","MONO_BLUE","INSTANT","1",
"Pongify","MONO_BLUE","INSTANT","1",
"Rapid Hybridization","MONO_BLUE","INSTANT","1",
"Swan Song","MONO_BLUE","INSTANT","1",
"Counterspell","MONO_BLUE","INSTANT","2",
"Cyclonic Rift","MONO_BLUE","INSTANT","2",
"Mana Drain","MONO_BLUE","INSTANT","2",
"Mission Briefing","MONO_BLUE","INSTANT","2",
"Negate","MONO_BLUE","INSTANT","2",
"Capsize","MONO_BLUE","INSTANT","3",
"Disallow","MONO_BLUE","INSTANT","3",
"Dissipate","MONO_BLUE","INSTANT","3",
"Forbid","MONO_BLUE","INSTANT","3",
"Frantic Search","MONO_BLUE","INSTANT","3",
"Thirst for Knowledge","MONO_BLUE","INSTANT","3",
"Cryptic Command","MONO_BLUE","INSTANT","4",
"Fact or Fiction","MONO_BLUE","INSTANT","4",
"Evacuation","MONO_BLUE","INSTANT","5",
"Force of Will","MONO_BLUE","INSTANT","5",
"Mystic Confluence","MONO_BLUE","INSTANT","5",
"Pull from Tomorrow","MONO_BLUE","INSTANT","7",
"Blue Sun's Zenith","MONO_BLUE","INSTANT","8",
"Dig Through Time","MONO_BLUE","INSTANT","8",
"Whir of Invention","MONO_BLUE","INSTANT","8",
"Ancestral Vision","MONO_BLUE","SORCERY","1",
"Ponder","MONO_BLUE","SORCERY","1",
"Preordain","MONO_BLUE","SORCERY","1",
"Compulsive Research","MONO_BLUE","SORCERY","3",
"Windfall","MONO_BLUE","SORCERY","3",
"Rite of Replication","MONO_BLUE","SORCERY","4",
"Tezzeret's Gambit","MONO_BLUE","SORCERY","4",
"Bribery","MONO_BLUE","SORCERY","5",
"Capture of Jingzhou","MONO_BLUE","SORCERY","5",
"Temporal Manipulation","MONO_BLUE","SORCERY","5",
"Time Warp","MONO_BLUE","SORCERY","5",
"Spelltwine","MONO_BLUE","SORCERY","6",
"Time Spiral","MONO_BLUE","SORCERY","6",
"Blatant Thievery","MONO_BLUE","SORCERY","7",
"Curse of the Swine","MONO_BLUE","SORCERY","7",
"Treasure Cruise","MONO_BLUE","SORCERY","8",
"Expropriate","MONO_BLUE","SORCERY","9",
"Rhystic Study","MONO_BLUE","ENCHANTMENT","3",
